2025-08-25 14:25:50.564 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'settings_updated', 'settings': {'exposure_ms': 3000.0, 'gain': 25, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Camera event
2025-08-25 14:25:50.564 | INFO     | obscam.backend_service:update_settings:197 | {'module': 'backend_service', 'settings': {'exposure_ms': 3000.0, 'gain': 25, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings updated successfully
2025-08-25 14:25:50.566 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 3000.0, 'gain': 50, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
2025-08-25 14:25:50.568 | INFO     | obscam.settings_manager:_save_settings_to_disk:125 | {'module': 'settings_manager', 'settings': {'exposure_ms': 3000.0, 'gain': 25, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings saved successfully
2025-08-25 14:25:50.569 | WARNING  | obscam.capture_loop:_capture_worker:162 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-25 14:25:50.674 | INFO     | obscam.capture_loop:_capture_worker:204 | {'module': 'capture_loop', 'final_frame_count': 0} | Capture loop thread ended
2025-08-25 14:25:50.675 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:50.887 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:50.888 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-25 14:25:50.888 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'settings_updated', 'settings': {'exposure_ms': 3000.0, 'gain': 50, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Camera event
2025-08-25 14:25:50.889 | INFO     | obscam.backend_service:update_settings:197 | {'module': 'backend_service', 'settings': {'exposure_ms': 3000.0, 'gain': 50, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings updated successfully
2025-08-25 14:25:50.890 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 3000.0, 'gain': 75, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
2025-08-25 14:25:50.892 | INFO     | obscam.settings_manager:_save_settings_to_disk:125 | {'module': 'settings_manager', 'settings': {'exposure_ms': 3000.0, 'gain': 50, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings saved successfully
2025-08-25 14:25:50.894 | WARNING  | obscam.capture_loop:_capture_worker:162 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-25 14:25:50.999 | INFO     | obscam.capture_loop:_capture_worker:204 | {'module': 'capture_loop', 'final_frame_count': 0} | Capture loop thread ended
2025-08-25 14:25:51.000 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:51.213 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:51.214 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
